# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-004   +1.299953e+02   +4.245524e-07 +8.078907e-05 -2.231666e+00 -1.554268e-02 -2.786842e-01 -1.101327e+02 -7.014442e+03 +1.128258e+05 +1.247654e+09 +1.006606e+09 -6.489506e+10 +1.332110e+13 +4.764412e+14 -6.851692e+15 -2.913959e+20   -4.901421e-08 +1.392697e-04 +6.480613e-04 -2.805337e-02 -1.808425e+00 +3.158930e+01 +5.771339e+03 -5.263842e+05 -4.328577e+08 +2.668723e+09 -1.996941e+10 -1.732856e+12 -5.604845e+14 +1.513273e+17 +6.766578e+19
S15-006   +1.299958e+02   +1.330961e-07 +8.368824e-05 -2.236099e+00 -3.097307e-02 -7.521688e+00 +2.167179e+01 -1.823038e+04 -2.912593e+05 +1.267650e+09 +2.984059e+08 -4.502318e+09 +4.314562e+12 +1.218132e+15 +1.332946e+17 -2.959016e+20   -9.573525e-09 +1.010554e-04 +1.596555e-03 -4.667764e-02 -7.988450e-02 +3.683534e+00 -9.865457e+02 -1.819950e+05 -3.898111e+08 +1.965608e+09 -6.054496e+10 -6.660454e+12 -6.181419e+12 +8.845470e+16 +6.302071e+19
S15-008   +1.299962e+02   -5.340173e-08 +5.008929e-05 -2.233044e+00 -6.960550e-03 -7.536750e+00 +4.727781e+01 -1.844295e+04 +1.773101e+05 +1.310445e+09 -2.410545e+08 +9.944783e+10 +9.699222e+11 +1.131151e+15 +1.255221e+16 -3.160413e+20   +2.345592e-07 +1.037641e-04 +4.535709e-04 +1.370244e-03 -8.611144e+00 +1.998477e+01 +1.329700e+04 -2.570689e+05 -1.715499e+08 -1.191684e+09 +1.083683e+11 +2.408467e+12 -4.751498e+14 +8.928669e+16 +1.812358e+19
S15-009   +1.299960e+02   +1.887225e-07 +8.931344e-05 -2.234179e+00 -1.963353e-02 -6.257817e+00 -3.891681e+01 -1.468857e+04 -1.290921e+05 +1.305038e+09 +1.002755e+09 -1.065955e+10 +1.303805e+12 +6.028318e+14 +6.102457e+16 -3.150856e+20   +2.687383e-08 +9.826418e-05 -6.620869e-04 -1.197421e-02 +2.259707e+00 +3.801996e+01 -6.876495e+03 -2.884936e+05 -1.854952e+08 +4.958943e+08 +8.431444e+10 -4.760983e+12 +2.862632e+14 +3.656287e+16 +2.606647e+19
S15-010   +1.299956e+02   +5.225207e-07 +1.073508e-04 -2.235046e+00 -1.367324e-03 +1.875996e+00 +6.792595e+01 -6.032336e+02 -1.254945e+05 +1.373242e+09 -3.944576e+08 -4.833923e+10 +4.562804e+12 +6.900082e+13 +1.074162e+17 -3.309400e+20   -1.228889e-07 +7.976347e-05 -1.970520e-04 +1.367374e-02 +5.835224e+00 -9.567093e+00 -9.901843e+03 +5.445480e+04 -1.099990e+08 -1.594050e+09 -1.093671e+11 +9.106224e+11 -4.480219e+13 +4.330224e+16 +3.536560e+18
S15-014   +1.299955e+02   +1.544847e-07 +7.927759e-05 -2.229095e+00 -3.087336e-02 -1.422479e+01 -1.075254e+02 -3.677224e+04 -6.027883e+05 +1.374359e+09 -4.097423e+08 +1.684888e+10 +1.376252e+13 +4.083751e+15 +2.145170e+17 -3.189598e+20   -5.815195e-08 +1.327239e-04 -7.646431e-05 -4.171718e-02 -3.939525e-02 -7.052056e+01 -2.151439e+03 -7.103549e+05 -1.960384e+08 +7.314835e+08 +1.621669e+11 +4.539787e+13 +3.891082e+14 +1.007747e+16 +1.128091e+19
S15-016   +1.299967e+02   -1.558621e-07 +7.181428e-05 -2.230644e+00 -7.069242e-02 -7.510443e+00 -6.317342e+01 -1.396799e+04 -2.473399e+05 +1.476378e+09 +1.095838e+09 +4.861538e+10 +9.673330e+11 +4.480053e+14 +6.643959e+16 -3.295806e+20   +3.193320e-08 +1.140341e-04 -9.249604e-04 -2.706586e-02 -4.811328e-01 +2.910023e+01 +4.347231e+03 -4.878952e+04 -3.539291e+07 -1.262371e+09 +2.739930e+10 -9.893128e+11 -6.448297e+14 +9.640145e+16 -7.033569e+17
S15-017   +1.299956e+02   +1.531271e-07 +9.670227e-05 -2.231373e+00 -6.498470e-02 -2.589113e+00 -1.258700e+02 -5.404037e+03 -1.811038e+05 +1.486306e+09 -6.260202e+08 -1.928528e+10 +5.831913e+12 -2.888077e+12 +1.037917e+17 -3.273322e+20   +3.191741e-08 +1.300812e-04 -1.637649e-03 -3.523495e-02 +1.363314e+00 +3.590225e+01 -2.344130e+03 -1.022663e+05 -7.477352e+07 -1.337771e+09 +7.949900e+10 +3.941456e+12 -1.452012e+14 +1.089529e+17 -1.572629e+19
S15-018   +1.299955e+02   +2.691816e-07 +1.114302e-04 -2.232702e+00 +7.199788e-04 +3.357892e-01 +7.517365e+01 -2.246631e+03 -6.020719e+04 +1.340584e+09 +5.084431e+08 +3.231979e+10 +3.183344e+12 +3.556666e+14 +9.429665e+16 -3.057684e+20   -2.601363e-07 +1.463412e-04 +7.440401e-04 -8.292464e-02 +1.653559e+00 -6.591563e+00 -1.105015e+02 +1.368777e+05 -2.783259e+08 -3.963807e+08 +6.180031e+10 +6.901770e+12 -6.181319e+14 +3.075826e+16 +4.026608e+19
S15-021   +1.299962e+02   +6.926837e-08 +1.001593e-04 -2.232318e+00 -6.513363e-02 -5.076185e+00 +3.250910e+02 -1.169341e+04 -2.172292e+05 +1.498383e+09 +6.717080e+08 +2.763069e+10 -3.051093e+12 +9.565149e+14 +1.042245e+17 -3.324909e+20   -1.304154e-07 +1.019276e-04 -5.275557e-04 -1.623733e-02 +2.309768e+00 -5.781383e+00 -1.084259e+03 -1.821593e+05 -4.426066e+07 +2.135666e+07 +6.727347e+09 -2.129868e+12 -4.960290e+14 +1.054402e+17 -1.401148e+18
