# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-004   +1.099959e+02   +4.274631e-07 +7.848876e-05 -2.246831e+00 -2.379549e-02 -5.300577e-01 -1.220173e+02 -7.042391e+03 +9.817139e+04 +1.250286e+09 +9.909015e+08 -3.135323e+10 +1.256315e+13 +3.484451e+14 -2.642991e+16 -2.927121e+20   -4.755689e-08 +1.402717e-04 +6.569807e-04 -2.614320e-02 -1.907007e+00 +4.259007e+01 +5.855165e+03 -5.697095e+05 -4.297604e+08 +1.673759e+09 +5.198817e+10 -6.086200e+12 -6.593492e+14 +1.952265e+17 +6.882290e+19
S15-006   +1.099959e+02   +1.417982e-07 +8.480197e-05 -2.249963e+00 -2.699635e-02 -7.605047e+00 +4.172131e+01 -1.980578e+04 -1.509199e+05 +1.263713e+09 -1.378434e+08 +6.091863e+10 +3.128956e+12 +1.883998e+15 +6.713263e+16 -2.948616e+20   -2.454220e-08 +1.021523e-04 +1.608645e-03 -5.228712e-02 +1.460366e-01 +7.504501e+00 -1.617213e+03 -8.458253e+04 -4.020716e+08 +2.824543e+09 -7.406386e+08 -5.970488e+12 -1.502570e+14 +3.636180e+16 +6.922587e+19
S15-008   +1.099967e+02   -5.492283e-08 +4.838833e-05 -2.247909e+00 -1.474320e-02 -7.534438e+00 +5.666865e+01 -1.829846e+04 +2.063809e+05 +1.307719e+09 -3.437327e+08 -7.096148e+08 -1.923822e+12 +1.031165e+15 +6.912155e+15 -3.182115e+20   +2.124382e-07 +1.077290e-04 +4.666225e-04 -9.863050e-03 -8.026662e+00 +1.390984e+01 +1.282220e+04 -3.186308e+05 -1.746368e+08 -1.800468e+09 +1.682968e+11 -1.003137e+12 -5.337156e+14 +1.206563e+17 +1.925299e+19
S15-009   +1.099962e+02   +1.650375e-07 +9.277511e-05 -2.249557e+00 -9.266920e-03 -6.884632e+00 -4.272189e+01 -1.573989e+04 -9.409934e+04 +1.303781e+09 +8.035859e+08 +1.170482e+10 +9.024218e+11 +8.019928e+14 +7.143762e+16 -3.169614e+20   +1.448147e-08 +9.952326e-05 -6.863867e-04 -1.422510e-02 +2.474306e+00 +3.560331e+01 -7.529480e+03 -3.077150e+05 -1.886770e+08 +5.831338e+08 +8.322464e+10 -4.048605e+12 +3.177709e+14 +3.681406e+16 +2.469813e+19
S15-010   +1.099961e+02   +4.243610e-07 +1.049597e-04 -2.250194e+00 -1.555498e-02 -3.943382e-03 +6.994813e+01 -2.787645e+03 -1.879548e+05 +1.362567e+09 +2.137701e+08 +3.060857e+10 +7.308615e+12 +1.855901e+14 +1.049128e+17 -3.297668e+20   -1.169100e-07 +8.115674e-05 -2.579079e-04 +1.203796e-02 +5.915191e+00 -1.120153e+01 -9.612795e+03 +7.746819e+04 -1.064670e+08 -2.003882e+09 -9.626605e+10 +1.254516e+12 +5.823553e+13 +2.915352e+16 +6.885932e+18
S15-014   +1.099963e+02   +1.446560e-07 +8.221980e-05 -2.244888e+00 -3.156166e-02 -1.462860e+01 -9.916706e+01 -3.795174e+04 -6.231099e+05 +1.371400e+09 -2.819068e+07 +1.615490e+10 +2.450608e+13 +4.119746e+15 +2.410164e+17 -3.227136e+20   -4.925928e-08 +1.315418e-04 -7.630948e-05 -3.339593e-02 -3.082297e-02 -7.023445e+01 -2.179481e+03 -7.116894e+05 -1.975969e+08 +1.539095e+09 +1.317425e+11 +4.135812e+13 +2.868180e+14 +7.026906e+15 +7.473371e+18
S15-016   +1.099964e+02   -1.557196e-07 +7.106970e-05 -2.246032e+00 -7.604651e-02 -7.438433e+00 -6.161043e+01 -1.339664e+04 -2.468384e+05 +1.479998e+09 +9.154309e+08 +5.292344e+10 +2.309872e+12 +4.191875e+14 +6.512798e+16 -3.317789e+20   +3.327874e-08 +1.141286e-04 -9.512366e-04 -2.122823e-02 -4.888695e-01 +3.102602e+01 +4.426164e+03 -6.210078e+04 -3.644000e+07 -1.227202e+09 +5.574928e+10 +9.667953e+11 -7.748758e+14 +9.768129e+16 -6.657050e+17
S15-017   +1.099960e+02   +1.388984e-07 +9.844340e-05 -2.246704e+00 -6.487605e-02 -2.743653e+00 -1.123322e+02 -4.938405e+03 -3.832647e+04 +1.479987e+09 +1.234902e+08 -3.725033e+08 +1.526301e+12 +1.452067e+14 +9.474554e+16 -3.340520e+20   +3.219777e-08 +1.314928e-04 -1.695742e-03 -3.699005e-02 +1.578176e+00 +3.299709e+01 -2.420206e+03 +2.891554e+03 -8.258007e+07 -8.764887e+08 +1.165462e+10 +1.423545e+12 -1.348113e+14 +6.144780e+16 -1.039878e+19
S15-018   +1.099956e+02   +2.783053e-07 +1.108209e-04 -2.248416e+00 -4.452456e-03 +3.813551e-01 +6.505179e+01 -2.872675e+03 -8.395610e+04 +1.337800e+09 +5.603882e+08 -2.499906e+10 +3.945410e+12 +8.253766e+14 +1.490417e+17 -3.042730e+20   -2.472486e-07 +1.464961e-04 +7.489032e-04 -7.890239e-02 +1.466647e+00 -5.615450e+00 +1.722015e+02 +9.308827e+04 -2.833741e+08 -1.023200e+09 +4.622222e+10 +5.769078e+12 -5.632473e+14 +5.564333e+16 +3.943293e+19
S15-021   +1.099962e+02   +1.042516e-07 +1.041779e-04 -2.247596e+00 -5.248790e-02 -4.750943e+00 +3.311324e+02 -1.130275e+04 -2.344105e+05 +1.500797e+09 +6.563914e+08 -4.634736e+09 -3.450152e+12 +8.034680e+14 +1.098670e+17 -3.342980e+20   -1.519425e-07 +1.008711e-04 -5.614795e-04 -7.832611e-03 +2.650097e+00 -6.141941e-01 -1.762341e+03 -2.027675e+05 -4.302088e+07 -1.386189e+08 +1.197481e+10 -2.170535e+11 -3.052160e+14 +1.124402e+17 -2.643078e+18
