# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
BC-060   +5.002331e+00   +3.374951e-04 +6.134252e-05 +1.963024e-03 -4.758909e-03 -7.834062e+00 +1.535826e+02 -4.737665e+04 +5.442709e+04 -9.996686e+05 -3.244174e+08 +6.348572e+10 +8.350141e+11   -1.048534e-06 +7.646603e-06 +5.330211e-04 -5.957667e-03 -4.756049e-01 -9.684633e+00 -3.916432e+02 +4.462975e+04 +9.924415e+05 -1.045848e+08 -2.764947e+09 +6.979810e+11   
BC-061   +5.000080e+00   +3.387546e-04 +7.511804e-05 +1.659301e-03 -8.546551e-03 -7.554305e+00 +1.820308e+02 -4.908353e+04 -7.578459e+04 -1.129857e+06 -2.496444e+08 +7.079605e+10 -1.323753e+11   -1.412878e-06 +1.890461e-05 +5.286565e-04 -1.763480e-02 -8.089329e-01 +2.542503e+01 -8.318357e+02 -1.533008e+04 +1.378241e+06 -1.373846e+07 +4.236118e+09 +1.629372e+11   
BC-062   +4.999910e+00   +3.371669e-04 +7.253647e-05 +1.755000e-03 -9.842697e-03 -7.868282e+00 +1.682553e+02 -4.733293e+04 -5.035005e+04 +1.699525e+06 -2.195242e+08 +6.873622e+10 +4.777486e+11   -7.134008e-07 +1.854876e-05 +6.669634e-04 -3.698099e-03 -6.951921e-01 -5.440690e+00 -2.232402e+02 +7.505027e+04 -2.770206e+05 +6.725221e+06 +5.156719e+09 +8.192893e+11   
BC-063   +5.000446e+00   +3.359914e-04 +1.932973e-06 +2.876963e-03 +1.127620e-02 -8.286147e+00 +1.443168e+02 -4.996694e+04 +1.180567e+04 -4.392824e+06 -5.255885e+08 +4.965339e+10 +2.833079e+11   -6.699650e-07 -9.739277e-06 -1.730257e-04 +8.318140e-03 +8.039727e-01 +8.315780e+00 -2.225074e+01 -5.441549e+04 -3.593717e+05 -3.390022e+08 -3.927226e+09 -1.032771e+12   
BC-064   +5.000662e+00   +3.373559e-04 -4.741318e-06 +2.879037e-03 +5.317164e-03 -7.911441e+00 +1.383892e+02 -4.811085e+04 -5.068525e+03 -4.929787e+05 -3.022046e+08 +6.286882e+10 +9.699214e+10   -5.837429e-07 -1.009550e-05 -3.347891e-05 -3.218344e-03 +4.278038e-02 +2.108383e+00 -1.631919e+02 +4.289404e+04 -9.109024e+05 +6.792727e+06 -7.005129e+08 +2.309650e+10   
BC-065   +5.000359e+00   +3.366106e-04 +9.888948e-08 +2.823861e-03 +8.294120e-03 -7.810657e+00 +1.435090e+02 -4.799531e+04 +2.988951e+04 -2.083636e+05 -3.594520e+08 +6.457712e+10 +2.134061e+11   -4.674282e-07 -1.513367e-05 -1.386279e-04 +3.303631e-03 +1.239326e-01 -1.377994e+01 -3.206148e+02 +1.499046e+04 +1.174446e+06 -3.681264e+07 +2.595600e+09 +1.583435e+11   
BC-066   +4.999931e+00   +3.361720e-04 -1.914982e-06 +2.888854e-03 +7.796476e-03 -7.787983e+00 +1.416183e+02 -4.772592e+04 -6.791946e+03 +4.260409e+05 -3.010824e+08 +6.708355e+10 +2.873098e+11   -6.665992e-07 -7.719399e-06 -1.570530e-05 -2.378931e-03 +9.303594e-02 -2.909600e+00 -2.869302e+02 +2.193234e+04 -1.213233e+06 -4.777046e+07 -6.524910e+08 -1.238871e+11   
BC-067   +4.999827e+00   +3.377569e-04 -9.114427e-06 +2.901914e-03 +1.083250e-02 -8.364693e+00 +1.680722e+02 -4.763067e+04 -7.943517e+04 +1.085465e+07 -5.529357e+08 +7.101734e+10 +9.854561e+11   -4.498104e-07 -7.565260e-06 -1.099211e-04 +1.112950e-02 +8.301993e-02 -9.756290e+00 +2.167073e+03 -4.054922e+04 +6.903439e+06 +2.365856e+08 -7.435933e+08 +9.421994e+11   
BC-068   +5.001483e+00   +3.363656e-04 +3.485744e-06 +2.731510e-03 +1.237590e-02 -7.679002e+00 +1.164833e+02 -4.802096e+04 -3.376185e+04 +3.351530e+05 -2.235833e+08 +5.899594e+10 -9.517549e+10   -6.748512e-07 -1.347998e-05 -9.045265e-05 +3.675186e-03 +2.145138e-01 -1.747858e+01 -2.929051e+02 +8.472481e+03 +7.727808e+05 -5.318063e+07 -4.624582e+09 +2.327176e+11   
BC-069   +5.000945e+00   +3.368067e-04 +3.155814e-06 +2.877178e-03 +2.673547e-03 -7.981531e+00 +1.256355e+02 -4.721948e+04 -3.179965e+04 +4.081797e+05 -2.696772e+08 +6.387391e+10 +4.252492e+10   -5.620454e-07 -6.422290e-06 -1.068866e-05 -4.238195e-03 +3.747614e-04 -4.394056e+00 +3.773257e+02 +8.895827e+03 +1.909798e+06 +6.676720e+07 +1.755842e+09 +2.874579e+11   
BC-070   +5.001213e+00   +3.366585e-04 -5.825083e-06 +2.851552e-03 +4.366845e-03 -7.868945e+00 +1.204580e+02 -4.781590e+04 -1.087903e+04 -2.287407e+04 -1.833940e+08 +6.167512e+10 +2.714813e+11   -3.208952e-07 -5.463681e-06 +3.619176e-05 -2.915715e-03 +3.155770e-01 -4.850965e+00 -4.690578e+02 +8.766565e+03 +3.522238e+04 +9.027850e+07 +7.447157e+08 +1.061570e+11   
BC-071   +5.000201e+00   +3.359543e-04 -5.915432e-06 +2.868257e-03 +9.641568e-03 -7.902584e+00 +1.475479e+02 -4.768304e+04 -8.707120e+03 +1.538846e+04 -2.579144e+08 +5.966458e+10 +2.059897e+11   -5.038719e-07 -1.575251e-05 -1.253308e-04 -8.173391e-04 +7.454074e-02 -1.059224e+01 -1.348686e+02 -8.524289e+03 -4.034878e+05 -4.376688e+07 +2.530492e+08 -2.172627e+11   
BC-072   +5.001824e+00   +3.367701e-04 -1.067747e-06 +2.787125e-03 -2.151143e-03 -7.821797e+00 +7.291930e+01 -4.871487e+04 -6.937559e+04 -1.374503e+05 -5.785549e+08 +7.506096e+10 -1.895863e+11   -5.610457e-07 -1.171907e-05 +1.208732e-04 -1.860422e-03 +5.064950e-01 +4.291201e+00 -8.593125e+02 +1.870713e+04 +8.845015e+05 -2.677047e+05 +1.293913e+10 +3.975436e+11   
BC-073   +5.001161e+00   +3.360052e-04 -6.581890e-06 +2.868492e-03 +6.359395e-03 -7.765121e+00 +1.288210e+02 -4.784309e+04 -3.443838e+03 +1.353421e+06 -2.957273e+08 +6.521274e+10 +3.196834e+11   -5.986420e-07 -9.563391e-06 +1.883299e-08 -4.099300e-03 +1.364300e-01 -9.837024e-01 -1.045612e+03 +4.461622e+04 -4.456221e+05 -5.879599e+07 +6.438281e+09 -2.580939e+11   
BC-074   +4.999677e+00   +3.366345e-04 -5.942486e-06 +2.868499e-03 +9.894993e-03 -7.820043e+00 +1.448574e+02 -4.796152e+04 -4.017730e+04 +1.184551e+06 -3.568833e+08 +6.495504e+10 +1.566425e+11   -5.244931e-07 -7.764490e-06 -4.337436e-05 -2.749342e-03 +2.911188e-01 +4.115320e+00 +1.300447e+03 +3.934824e+04 +4.559153e+06 +5.995943e+07 +2.428763e+09 -3.251954e+10   
BC-075   +5.000509e+00   +3.362044e-04 -5.067918e-06 +2.909916e-03 +8.509962e-03 -7.804697e+00 +1.490823e+02 -4.779447e+04 -2.722249e+04 -2.773324e+05 -3.137401e+08 +6.083101e+10 +2.009883e+11   -5.303208e-07 -1.259829e-05 -4.181336e-05 -5.188074e-03 +2.520219e-01 +2.887766e-01 +2.602477e+02 +2.134457e+04 +1.402955e+05 +6.309720e+07 +2.724407e+09 +1.940857e+11   
BC-076   +5.000193e+00   +3.367070e-04 -4.193728e-06 +2.924663e-03 +6.022236e-03 -7.720460e+00 +1.253589e+02 -4.745733e+04 -1.358227e+04 -1.839795e+05 -2.783679e+08 +6.646805e+10 +7.729808e+10   -6.795934e-07 -8.671649e-06 -5.869293e-05 -3.295579e-03 +7.174173e-02 -8.295000e+00 +7.925440e+01 +2.957778e+04 +2.941050e+05 -1.360474e+08 -5.097333e+08 +9.755637e+09   
BC-077   +4.999476e+00   +3.361796e-04 -3.778140e-07 +2.893201e-03 +8.843001e-03 -8.042511e+00 +1.492989e+02 -4.762549e+04 +3.193767e+03 -5.592836e+04 -3.769325e+08 +6.235657e+10 +1.191510e+11   -3.346927e-07 -1.271858e-05 +1.053232e-04 +3.413864e-06 +6.618948e-02 -9.611089e+00 -5.351561e+02 +2.137552e+04 -3.799252e+05 +2.076490e+06 +5.276463e+08 -6.989158e+10   
BC-078   +5.000782e+00   +3.372755e-04 -5.009185e-06 +2.934853e-03 +5.424790e-03 -7.913532e+00 +1.228367e+02 -4.831730e+04 -3.718500e+03 +8.850982e+05 -3.009445e+08 +6.440113e+10 +2.300716e+11   -5.316187e-07 -9.510323e-06 -2.517426e-05 -1.428595e-03 +1.300101e-01 -4.762875e+00 -4.479241e+02 +1.250365e+04 -1.821820e+04 +1.311889e+07 +4.003106e+09 -1.424160e+11   
BC-079   +4.999481e+00   +3.381523e-04 -9.676618e-06 +2.678524e-03 +1.931352e-03 -7.628298e+00 +1.437890e+02 -4.814720e+04 -7.912713e+04 +4.547712e+05 -9.456120e+07 +5.339096e+10 +6.208804e+11   -5.341508e-07 -1.394509e-05 +2.659494e-06 +1.228029e-02 +3.275052e-01 -3.632121e+01 +1.335620e+03 -1.026288e+03 +3.247137e+06 -5.510994e+06 -5.908545e+08 -6.221444e+11   
BC-080   +4.999099e+00   +3.361512e-04 -1.887124e-06 +2.878639e-03 +7.136442e-03 -7.904482e+00 +1.501991e+02 -4.745145e+04 -1.540242e+03 +4.792046e+04 -3.150026e+08 +6.018272e+10 +1.939550e+11   -4.458499e-07 -1.452363e-05 -5.942883e-05 -2.382851e-03 +1.035332e-01 -3.625917e+00 -4.035477e+02 +4.900423e+04 -1.111056e+06 +5.020159e+07 +7.580178e+08 +4.270670e+09   
BC-081   +5.000825e+00   +3.369026e-04 -1.095263e-05 +2.877401e-03 +4.045437e-03 -7.946543e+00 +1.416689e+02 -4.802494e+04 +5.242829e+03 +4.099220e+05 -2.953273e+08 +6.136767e+10 +1.689949e+11   -5.621203e-07 -1.373125e-05 -5.856634e-05 -2.566579e-03 +1.085667e-01 +9.901368e-01 -4.982174e+02 +2.756775e+04 +9.519905e+04 +2.098904e+07 +5.442158e+08 -1.124807e+11   
BC-082   +4.999187e+00   +3.356540e-04 -8.444045e-06 +2.861453e-03 +9.749331e-03 -7.920820e+00 +1.597582e+02 -4.758134e+04 -8.570186e+03 +8.769860e+05 -3.338395e+08 +5.942392e+10 +3.082969e+11   -4.888353e-07 -1.389208e-05 -9.945441e-05 -3.195194e-03 +1.162510e-01 -5.991144e+00 -4.035560e+02 +1.053477e+04 -6.252971e+05 -1.935319e+07 -4.105119e+09 +2.539085e+10   
BC-083   +5.000520e+00   +3.363304e-04 -5.203345e-06 +2.933789e-03 +2.072624e-03 -7.900444e+00 +1.167378e+02 -4.782405e+04 -3.204839e+03 +1.024600e+06 -2.340473e+08 +6.240603e+10 +1.540292e+11   -6.359385e-07 -1.060883e-05 -7.793467e-05 -5.259959e-03 +4.850886e-02 -6.920994e+00 -3.254504e+02 +9.497210e+03 -6.997388e+05 -2.008547e+07 -3.533153e+09 +1.419775e+10   
BC-084   +5.000146e+00   +3.371566e-04 -7.103415e-06 +2.917161e-03 +1.020386e-02 -8.062851e+00 +1.648898e+02 -4.819671e+04 +4.870646e+03 +6.956403e+05 -3.405885e+08 +6.565296e+10 +4.002019e+11   -1.673415e-07 -1.217948e-05 +6.112794e-05 -3.170159e-03 +8.273812e-02 -4.448954e+00 -8.371532e+02 +2.850971e+04 -9.711310e+05 -5.726201e+07 -3.876069e+08 -1.195395e+11   
