# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-006   +7.996400e+00   +3.686458e-07 -6.148900e-02 -2.549852e-03 -1.281374e-01 -1.988446e+00 +2.457926e+03 -3.259069e+02 -6.713687e+04 +1.049155e+07 -2.407157e+11 +6.550204e+10 +1.108234e+13 -5.703710e+14 +4.936032e+18 +1.004268e+19   +7.466134e-07 -9.416382e-06 -1.184210e-03 +2.814056e-02 +4.129393e-01 -9.103444e+01 -3.184335e+03 -2.026353e+05 -3.211120e+07 +2.456114e+09 +6.936725e+10 -1.137395e+12 -1.259511e+15 -4.236515e+16 +6.249073e+18   
Q20-018   +7.996200e+00   +1.042482e-06 -6.124427e-02 -2.510111e-04 -9.777617e-02 -3.911263e-01 +2.390240e+03 -7.754051e+03 -1.452512e+05 +1.722074e+07 -2.376129e+11 -3.870737e+11 +5.012735e+12 -3.172678e+15 +4.894475e+18 -1.011414e+19   +1.326179e-07 -2.492319e-05 -9.537807e-05 +1.493217e-02 +3.219716e-01 -2.314853e+02 +2.795462e+02 +3.373708e+04 -1.392518e+07 +3.612766e+09 +1.112669e+11 +6.007484e+12 -2.396222e+15 -2.757587e+16 +7.775787e+18   
Q20-031   +7.996250e+00   +1.659479e-06 -6.120812e-02 +5.323809e-04 -7.428318e-02 -3.795318e-01 +2.343805e+03 -4.122118e+03 +1.117385e+05 +2.820477e+07 -2.388137e+11 +2.070358e+09 +8.489065e+12 -9.081907e+14 +4.955223e+18 +1.493360e+18   +1.288435e-06 -1.707958e-05 -2.035818e-03 +2.158689e-02 +1.913587e+00 -1.793094e+02 +1.995513e+03 -1.493151e+05 +3.083608e+07 +5.691878e+09 +2.920033e+10 -1.321509e+13 -1.758596e+14 -1.059936e+17 -6.250993e+17   
Q20-042   +7.996500e+00   +7.070656e-07 -6.129736e-02 -6.110162e-04 -1.014215e-01 -3.453265e-01 +2.295998e+03 +2.579341e+03 +9.606558e+04 -1.011790e+07 -2.425511e+11 +1.389225e+11 +6.558880e+12 -5.912093e+14 +4.837857e+18 +6.732093e+17   +5.612310e-07 -1.507173e-05 -5.427288e-04 +9.579806e-03 +9.314768e-01 -1.962253e+02 -5.148492e+03 +3.390540e+04 -9.983344e+06 +3.309909e+09 -1.976966e+11 -7.491693e+12 -4.565414e+14 -1.347843e+17 -7.549492e+18   
Q20-052   +7.996300e+00   +8.099415e-07 -6.131253e-02 -8.960679e-04 -3.190706e-02 -1.542255e+00 +2.366881e+03 -2.547780e+03 -1.311918e+05 +1.414772e+07 -2.383510e+11 -4.789221e+10 -1.144726e+13 +5.245007e+13 +4.861528e+18 -3.236148e+18   +2.022212e-07 -5.665567e-06 +3.438452e-05 +9.710411e-03 +8.307036e-01 -1.530758e+02 -1.178937e+03 +3.803887e+04 +3.899130e+07 +4.250415e+09 +7.806528e+10 -6.874239e+12 -1.253083e+14 +7.888381e+16 -1.237036e+18   
Q20-054   +7.996350e+00   +1.812326e-06 -6.134239e-02 +2.357478e-03 -4.365533e-02 +1.505601e+00 +2.329349e+03 -8.960797e+03 +2.284142e+05 +2.187928e+06 -2.357993e+11 +9.308813e+10 -6.887397e+12 +7.987348e+14 +4.724654e+18 +5.499924e+17   +1.618221e-07 -7.079019e-06 +1.617397e-04 +1.755132e-02 +9.481637e-01 -2.631807e+02 +1.739107e+03 -1.295800e+05 -7.462912e+06 +5.037266e+09 -3.140419e+11 -5.435671e+12 -2.121460e+14 -1.317145e+17 +7.569873e+18   
Q20-084   +7.995600e+00   +1.354154e-06 -6.133809e-02 +1.379100e-04 -2.205990e-02 -3.562442e-01 +2.372707e+03 -8.824044e+03 +8.003777e+05 +3.251680e+07 -2.323392e+11 +1.796113e+11 +1.711339e+13 -1.645625e+15 +5.117153e+18 -2.737878e+18   +5.877272e-07 +9.029317e-06 -6.282443e-04 +4.073791e-02 +7.930123e-01 -2.194324e+02 -4.926922e+03 +8.728018e+05 +4.003611e+07 +6.626306e+09 +1.616778e+10 +5.251208e+13 +2.306467e+15 -2.050350e+17 +6.721817e+18   
Q20-085   +7.994300e+00   +1.223546e-06 -6.148553e-02 +8.563395e-04 -1.916632e-02 +9.532763e-01 +2.314346e+03 -3.819631e+03 -1.552866e+05 -3.489786e+07 -2.383733e+11 +2.874544e+10 -9.634223e+12 -1.193553e+15 +4.869966e+18 +8.042462e+17   -2.553581e-07 -1.047533e-05 +6.997919e-04 +1.487337e-02 +7.321049e-01 -2.171694e+02 -2.973464e+03 -1.703675e+05 +1.855368e+07 +3.115009e+09 +1.446619e+11 -9.402761e+12 -8.779259e+14 +1.396332e+17 +2.690712e+18   
Q20-089   +7.996000e+00   +1.333736e-06 -6.122262e-02 -1.116364e-04 -8.085444e-02 -5.296847e-01 +2.149217e+03 -4.997895e+03 +1.102927e+05 -5.840368e+07 -2.326667e+11 +1.305114e+11 +1.147199e+13 -1.415298e+15 +4.886069e+18 +8.523015e+18   +1.396610e-07 -1.337177e-06 +4.908658e-05 +6.605575e-03 +2.293129e+00 -1.822085e+02 +3.642613e+03 -4.288777e+05 +1.466601e+07 +3.775254e+09 -8.360290e+10 -2.451316e+13 +1.596458e+15 -4.844942e+16 +1.491326e+18   
Q20-093   +7.994250e+00   +1.222426e-06 -6.136925e-02 -7.979530e-05 -2.157029e-02 +1.490979e-01 +2.213231e+03 -4.559511e+03 -2.028094e+05 +5.160963e+07 -2.322927e+11 -3.136298e+11 -1.953773e+13 -1.149382e+15 +4.864609e+18 -6.984440e+18   +4.814837e-07 -1.499010e-06 -5.045299e-04 +1.801225e-02 +1.926263e+00 -1.209465e+02 -2.061345e+02 +1.911270e+05 +5.704984e+07 +2.134440e+09 +2.975919e+11 +2.767589e+13 +1.066431e+15 -9.882242e+16 -1.171192e+18   
